Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
Rectangle [color=blue, width=23.7, height=45.2]
Rectangle [color=dark red, width=20.5, height=10.7]
Rectangle [color=orange, width=90.0, height=83.0]
Rectangle [color=pink, width=17.254, height=100.739]
